Position,Track Name,Artist,Streams,URL
1,螟懊↓鬧¢繧,YOASOBI,261376,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
2,鬥呎ｰｴ,Eito,220836,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT
3,諢滄崕,Kenshi Yonezu,207459,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI
4,Dynamite,BTS,186061,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,Make you happy,NiziU,185034,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
6,陬ｸ縺ｮ蠢,Aimyon,176504,https://open.spotify.com/track/11OHUXwYHjsRNysUDdO2JS
7,Pretender,Official HIGE DANdism,165604,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
8,I Love...,Official HIGE DANdism,162018,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
9,Laughter,Official HIGE DANdism,150764,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
10,115荳く繝ｭ縺ｮ繝輔ぅ繝ｫ繝 ,Official HIGE DANdism,147586,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
11,snow jam,Rin髻ｳ,137885,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
12,逋ｽ譌･,King Gnu,137737,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
13,Myra,Tani Yuuki,135852,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
14,Neko - The First Take Version,DISH//,134262,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
15,譏･繧貞相縺偵ｋ,yama,125180,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
16,Shukumei,Official HIGE DANdism,124250,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
17,Lemon,Kenshi Yonezu,122558,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu
18,Machigaisagashi,Masaki Suda,118376,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
19,縺溘ｶ繧,YOASOBI,117894,https://open.spotify.com/track/62Lv9WcrfzJqhvYDbilJy3
20,繧ｭ繝ｳ繝｢繧ｯ繧ｻ繧､,繧ｪ繝ｬ繝ｳ繧ｸ繧ｹ繝代う繝九け繝ｩ繝,115142,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe
